Title,ISBN,Price,Author,Publisher,Publication time,Place of Publication,Pages,Classification Number,总借入,总续借,总借入和续借量,平均借阅时间(天),Classification
(PBC)A Treatise of Human Nature,9780140432442.0,63.0,David Hume,penguin uk,1985-10-31,英国,,128,1,0,1,31.81,General / Misc
(PBC)Essays and Letters,9780140447088.0,63.0,Friedrich Holderlin,penguin uk,2004-08-26,英国,,838.60,1,0,1,4.91,Literature
(PBC)Nature and Selected Essays,9780142437629.0,52.0,Ralph Waldo Emerson,penguin uk,2001-01-01,英国,,814.3,0,0,0,,Literature
(PMC)The Trial,9780241197790.0,35.0,"Kafka, Franz",Penguin UK,2019-08-06,英国,,833.91,1,0,1,3.56,Literature
1453君士坦丁堡之战,9787520107921.0,86.0,(英)克劳利著,上海科学技术文献出版社,2017.09   ,上海,500页     ,K546.3,1,0,1,50.67,Social Sciences
1844年经济学哲学手搞,9787010130033.0,48.0,马克思著,人民出版社,2016.10   ,北京,325页     ,A811.21,1,0,1,6.81,General / Misc
1973年的弹子球,9787532765522.0,47.0,(日)村上春树著,上海译文出版社,2014.05   ,上海,290页     ,I313.45,1,0,1,0.0,Literature
1Q84.BOOK1,9787544292894.0,49.6,(日)村上春树著,南海出版公司,2018.06   ,海口,392页     ,I313.45,0,0,0,,Literature
21：太空漫游,9787532170692.0,62.0,(英)克拉克著,上海文艺出版社,2019,上海,275页,I561.45,0,0,0,,Literature
24个比利,9787508691664.0,48.0,(美)凯斯著,中信出版集团股份有限公司,2018,北京,432页,I712.45,1,0,1,,Literature
3年人类迁徙史,9787218155913.0,118.0,(英) 科恩著,广州 广东人民出版社 2023,2023,广州,251,C922.1,1,0,1,,General / Misc
5 Things to Do with a Penknife,9781911216865.0,37.0,Matt Collins,Pavilion Books,2017-08-03,英国,,621.93,1,0,1,1.99,Science
55 Successful Harvard Law Essays （2nd Edition）,9781250047236.0,50.0,Staff of the Harvard Crimson,Square Fish,2014-07-08,美国,,340.07,1,0,1,66.58,Social Sciences
5分钟怪诞数学 : 那些看似不可能的生活真相,9787572208522.0,48.0,(德)克里斯蒂安·黑塞,浙江教育出版社,2021,杭州,205页,O1-49,1,0,1,,Science
A Brief History of Time,9780553380163.0,120.0,"Hawking, Stephen",Bantam,1998-09-01,,224,523.1 ,1,0,1,46.06,Science
A Farewell to Arms: The Special Edition,9780099582564.0,28.0,Ernest Hemingway,Random House UK,2020-02-26,英国,,813.52,0,0,0,,Literature
A Game of Thrones,9780007448036.0,45.7,"Martin, George R. R.",,,,801,813.54,0,0,0,,Literature
A Tale of Two Cities,9780785839835.0,42.0,Charles Dickens,Chartwell Books,2021-10-19,英国,,823.8,1,0,1,3.02,Literature
A Theory of Justice: Original Edition,9780674017726.0,196.0,"Rawls, John",Harvard University Press,2005-04-30,美国,,320.01,1,0,1,9.33,Social Sciences
A Thousand Splendid Suns,9781594483073.0,35.0,Khaled Hosseini,Penguin USA,2008-05-06,美国,,813.6,2,1,3,30.09,Literature
A glossary of literary terms,9781285465067.0,375.0,"Abrams, M. H. (Meyer Howard), 1912-; Harpham, Geoffrey Galt, 1946-",Cengage Learning,2015,USA,430,803,1,0,1,,Literature
A portrait of the artist as a young man,9780143108245.0,49.0,JamesJoyce,Penguin USA,2016-05-24,美国,,823.91,1,0,1,42.26,Literature
"A tree grows in Brooklyn, : a novel",9780060736262.0,41.0,"Smith, Betty",Harpercollins,2005,New York,493,813.52,2,0,2,47.9,Literature
ABC谋杀案,9787513341790.0,42.0,"(英)阿加莎·克里斯蒂 (Christie, Agatha 1890~1976) 著",新星出版社,2020,北京,235页,I561.45,1,0,1,23.81,Literature
AI经济,9787213100970.0,109.0,(英)布特尔著,浙江人民出版社,2021,杭州,352页,F0-39,1,0,1,,Social Sciences
ALMA Junior Classics:The Canterville Ghost and Other Stories(Secondary-school 12+),9781847496126.0,36.0,"Wilde, Oscar",Alma Books,2016-12-01,英国,,428.6,1,1,2,,Language
Accounting 11,9781507202920.0,65.0,"Cagan, Michele",Adams Media Corporation,2017-05-09,New York,272,657,1,0,1,0.02,Science
Advice for a Young Investigator,9780262681506.0,87.0,Ramon y Cajal,MIT Press,1999-01-01,美国,,507.2,1,0,1,,Science
Alexander Hamilton,9780143034759.0,145.0,"Chernow, Ron",,,,,973.40,0,0,0,,Social Sciences
All The Light We Cannot See,9781501173219.0,68.0,Anthony Doerr,Scribner Book,2017-04-04,美国,,813.6,1,0,1,,Literature
All the bright places,9780385755917.0,70.0,"Niven, Jennifer",Ember,2015,New York,388,813.6,0,0,0,,Literature
Alma Classics: Sense and Sensibility,9781847494849.0,23.0,Austen Jane,Alma Books,2015-07-15,英国,,823.7,1,0,1,32.97,Literature
Alma Classics:Tales of Horror,9781847496096.0,32.0,Edgar Allan Poe,Alma Books,,UK,311,813.3,1,0,1,6.13,Literature
Alma Classics：The Years,9781847498663.0,39.0,Virginia Woolf,ALMA BOOKS,2021-09-24,英国,,823.91,0,0,0,,Literature
Among Others,9781472106537.0,32.0,Jo Walton,Little Brown UK,2013-03-21,英国,,823.91,1,0,1,,Literature
Amusing Ourselves to Death[娱乐至死],9780143036531.0,94.0,"Postman, Neil[尼尔·波兹曼]",PENGUIN GROUP,2006      ,NEW YORK,184页     ,302.234,2,0,2,37.39,Social Sciences
Anna Karenina,9780140449174.0,65.0,Leo Tolstoy,Macmillan,2006.12,UK,,891.733,1,0,1,30.19,Literature
Applied Business,9781408504338.0,232.0,Andrew Hammond,[出版者不详],2009      ,[出版地不,247页     ,IB-3-EB-8,0,0,0,,Social Sciences
Art : the definitive visual history,9780241629031.0,181.0,DK,,,,,709,1,0,1,,Arts
Art Song in English: High Voice: 50 Songs by 21 American and British Composers,9781423418313.0,400.0,"Kimball, Carol",Boosey &amp; Hawkes Inc,2007-01-01,,192 页,780,1,0,1,,Arts
Artists : their lives and works,9780241226186.0,113.0,"
&nbsp;
",,,,,709.2,1,0,1,15.21,Arts
Atlas Shrugged,9780451191144.0,39.0,Ayn Rand,Berkley Books,1996-09-01,美国,,813.52,0,0,0,,Literature
BIOLOGY,72919345.0,12.0,,McGrawHill,          ,USA,955页     ,IB-4-BI-2,0,0,0,,Science
Babel-17/Empire Star,9780575094208.0,37.0,Samuel R. Delany,Orion Publishing Group,2010-03-29,英国,,813.54,2,0,2,7.59,Literature
Bantam Classics: Fifty Great Short Stories,9780553277456.0,15.0,Milton Crane,Bantam Classics,1983-08-01,美国,,808.83,0,0,0,,Literature
Bantam Classics：Frankenstein,9780553212471.0,51.0,Mary Shelley,Bantam Classics,1984-05-01,美国,,823.7,0,0,0,,Literature
Bantam Classics：Jane Eyre,9780553211405.0,13.0,Charlotte Bronte,Bantam Classics,1983-09-01,美国,,823.8,1,0,1,24.62,Literature
Bantam Classics：King Lear,9780553212976.0,13.0,William Shakespeare,Bantam Classics,1988-01-01,美国,,822.33,1,0,1,24.62,Literature
Bantam Classics：Pride And Prejudice,9780553213102.0,13.0,Jane Austen,Bantam Classics,1983-12-01,美国,,823.7,1,0,1,45.98,Literature
Bantam Classics：The Three Musketeers,9780553213379.0,19.0,Alexandre Dumas,Bantam Classics,1984-06-01,美国,,843.7,0,0,0,,Literature
Bantam Classics：Wuthering Heights,9780553212587.0,10.0,Emily Bronte,Bantam Classics,1983-10-01,美国,,823.8,2,1,3,33.9,Literature
Barron's 巴朗 AP美国历史,9787519224035.0,78.0,(美)瑞斯尼克著,世界图书出版公司,2017      ,北京,518页     ,IB-3-H-3,0,0,0,,Social Sciences
Barron's巴朗SAT 16 专著 = Barron's SAT 16,9787519211202.0,70.0,卡尔内瓦莱,世界图书出版公司北京公司,2016,北京,"15,453 ",IB-7-R.B-1,1,0,1,,General / Misc
Before I Fall,9780340980903.0,45.0,Lauren Oliver,Hodder,2010-07-22,英国,,813.6,1,0,1,32.15,Literature
Biology : a global approach,9781292341637.0,588.0,"Campbell, Neil A., 1946-2004; Reece, Jane B.; Urry, Lisa A.; Cain, Michael L. 1956-","Campbell, Urry, Cain, Wasserman, Minorsky, Orr",2021,USA,1345,IB-4-BI-2,0,0,0,,Science
Biology Option A: Neurobiology and Behaviour SL&HL,9781910689066.0,122.0,Ashby Merson-Dabies,OSC,2015,UK,49,IB-4-BI-2,1,1,2,48.01,Science
Biology for Edexel International GCSE Workbook,9781510405653.0,48.0,"Erica Larkcom,Roger Delpech,Kathy Evans",Hodder Education,2017      ,UK.,95p.      ,IB-4-BI-2,0,0,0,,Science
Biology for the IB Diploma,9780198393511.0,225.0,Andrew Allott,[出版者不详],2014      ,[出版地不,202页     ,IB-4-BI-2,1,0,1,,Science
Biology for the IB Diploma Exam Preparation Guide,9781107495685.0,275.0,Brenda Walpole,,          ,,248页     ,IB-4-BI-2,0,0,0,,Science
