Title,ISBN,Price,Author,Publisher,Publication time,Place of Publication,Pages,Classification Number,总借入,总续借,总借入和续借量,平均借阅时间(天),Classification
(PMC)The Trial,9780241197790,35.0,"Kafka, Franz",Penguin UK,2019-08-06,英国,,833.91,1,0,1,3.56,Literature
1844年经济学哲学手搞,9787010130033,48.0,马克思著,人民出版社,2016.10   ,北京,325页     ,A811.21,1,0,1,6.81,General / Misc
1Q84.BOOK1,9787544292894,49.6,(日)村上春树著,南海出版公司,2018.06   ,海口,392页     ,I313.45,0,0,0,,Literature
3年人类迁徙史,9787218155913,118.0,(英) 科恩著,广州 广东人民出版社 2023,2023,广州,251,C922.1,1,0,1,,General / Misc
5分钟怪诞数学 : 那些看似不可能的生活真相,9787572208522,48.0,(德)克里斯蒂安·黑塞,浙江教育出版社,2021,杭州,205页,O1-49,1,0,1,,Science
A Farewell to Arms: The Special Edition,9780099582564,28.0,Ernest Hemingway,Random House UK,2020-02-26,英国,,813.52,0,0,0,,Literature
A Tale of Two Cities,9780785839835,42.0,Charles Dickens,Chartwell Books,2021-10-19,英国,,823.8,1,0,1,3.02,Literature
A glossary of literary terms,9781285465067,375.0,"Abrams, M. H. (Meyer Howard), 1912-; Harpham, Geoffrey Galt, 1946-",Cengage Learning,2015,USA,430,803,1,0,1,,Literature
ALMA Junior Classics:The Canterville Ghost and Other Stories(Secondary-school 12+),9781847496126,36.0,"Wilde, Oscar",Alma Books,2016-12-01,英国,,428.6,1,1,2,,Language
Advice for a Young Investigator,9780262681506,87.0,Ramon y Cajal,MIT Press,1999-01-01,美国,,507.2,1,0,1,,Science
Alexander Hamilton,9780143034759,145.0,"Chernow, Ron",,,,,973.40,0,0,0,,Social Sciences
All The Light We Cannot See,9781501173219,68.0,Anthony Doerr,Scribner Book,2017-04-04,美国,,813.6,1,0,1,,Literature
All the bright places,9780385755917,70.0,"Niven, Jennifer",Ember,2015,New York,388,813.6,0,0,0,,Literature
Alma Classics: Sense and Sensibility,9781847494849,23.0,Austen Jane,Alma Books,2015-07-15,英国,,823.7,1,0,1,32.97,Literature
Amusing Ourselves to Death[娱乐至死],9780143036531,94.0,"Postman, Neil[尼尔·波兹曼]",PENGUIN GROUP,2006      ,NEW YORK,184页     ,302.234,1,0,1,40.66,Social Sciences
Art : the definitive visual history,9780241629031,181.0,DK,,,,,709,1,0,1,,Arts
Art Song in English: High Voice: 50 Songs by 21 American and British Composers,9781423418313,400.0,"Kimball, Carol",Boosey &amp; Hawkes Inc,2007-01-01,,192 页,780,1,0,1,,Arts
Bantam Classics：Jane Eyre,9780553211405,13.0,Charlotte Bronte,Bantam Classics,1983-09-01,美国,,823.8,1,0,1,24.62,Literature
Bantam Classics：King Lear,9780553212976,13.0,William Shakespeare,Bantam Classics,1988-01-01,美国,,822.33,1,0,1,24.62,Literature
Bantam Classics：The Three Musketeers,9780553213379,19.0,Alexandre Dumas,Bantam Classics,1984-06-01,美国,,843.7,0,0,0,,Literature
Bantam Classics：Wuthering Heights,9780553212587,10.0,Emily Bronte,Bantam Classics,1983-10-01,美国,,823.8,1,1,2,61.02,Literature
Biology for the IB Diploma,9780198393511,225.0,Andrew Allott,[出版者不详],2014      ,[出版地不,202页     ,IB-4-BI-2,1,0,1,,Science
Biology for the IB Diploma Exam Preparation Guide,9781107495685,275.0,Brenda Walpole,,          ,,248页     ,IB-4-BI-2,0,0,0,,Science
Biology for the IB Diploma Study and Revision Guide,9781471899706,203.0,Andrew Davis C.J.Clegg,Hodder Education,2017      ,UK.,320p.     ,IB-4-BI-2,1,0,1,,Science
Biology for the IB Diploma Workbook with CD-ROM,9781316646090,194.0,"Broderick, Matthew",Cambridge University Press,2017-08-31,,218,IB-4-BI-2,1,0,1,,Science
"Book of Laughter and Forgetting, The",9780571174379,51.0,Milan Kundera,Faber and Faber,1996-05-20,英国,,891.86,1,0,1,18.06,Literature
Born a crime : stories from a South African childhood,9780399588198,120.0,"Noah, Trevor, 1984-",Karl Blessing Verlag GmbH,2016,New York,288,791.450,1,1,2,82.01,Arts
Botero,9783836548823,110.0,"Hanstein, Mariana",Taschen,2017-10-31,,96,700,1,0,1,6.07,Arts
