,ISBN,Price,Pages,总借入,总续借,总借入和续借量,平均借阅时间(天),record_count,unique_users,unique_grades,median_price,median_pages,borrow_count,renew_count,return_count,active_days,borrow_per_user,publication_year,book_age
ISBN,1.0,-0.01278662481790796,-0.1576388207159581,0.0961614572539733,0.02912693135984619,0.09353277345261105,-0.017606202984829757,0.09551094191831366,0.06126073249169993,0.024982559854369833,-0.011079005685651667,-0.1570595132743035,,0.02912693135984619,0.057286360094618995,0.0560397702179329,,0.13104253751329456,-0.13104253751329456
Price,-0.01278662481790796,1.0,0.012832275776730698,-0.07892708199970583,-0.05806950902712705,-0.08498446967407718,0.03996410041304465,-0.0974631897420763,-0.012673254421246309,-0.008856686239584934,0.994655549961447,0.00942713093740844,,-0.05806950902712705,-0.07380730736815222,-0.05642221567676391,,0.22698280138458604,-0.22698280138458604
Pages,-0.1576388207159581,0.012832275776730698,1.0,-0.021662475855518688,0.0342163545087287,-0.029015663039903807,0.08298150955983062,-0.04517312973608719,-0.004701106925421721,-0.05730398678874761,0.014738493562295143,0.9999999999999999,,0.0342163545087287,-0.014816080890719778,-0.03029943056842788,,-0.06896794335140982,0.06896794335140982
总借入,0.0961614572539733,-0.07892708199970583,-0.021662475855518688,1.0,0.30667300414084725,0.88870146416824,0.1331741284494964,0.8027509337618711,0.5468245022588274,0.36561236090248206,-0.077705340018455,-0.0025255397494734415,,0.30667300414084725,0.48005444867004937,0.5586281717258494,,0.004430308480846966,-0.004430308480846966
总续借,0.02912693135984619,-0.05806950902712705,0.0342163545087287,0.30667300414084725,1.0,0.5971079237100828,0.2011609610141147,0.4898337042061891,0.16471900519306537,0.11814538360799351,-0.05821856492958908,0.02341962960120762,,0.9999999999999998,0.22046952533155612,0.27887505282880765,,0.013369756328525304,-0.013369756328525304
总借入和续借量,0.09353277345261105,-0.08498446967407718,-0.029015663039903807,0.88870146416824,0.5971079237100828,1.0,0.1999925666653669,0.86165902900059,0.4776791280604123,0.3245443756925963,-0.08392326423563758,-0.011742030910867982,,0.5971079237100828,0.4211108119909612,0.5498774052309897,,0.0021274856790279577,-0.0021274856790279577
平均借阅时间(天),-0.017606202984829757,0.03996410041304465,0.08298150955983062,0.1331741284494964,0.2011609610141147,0.1999925666653669,1.0,0.18130313954038516,0.06739148450627704,0.05081220857252832,0.039894042730554,0.0804441729428167,,0.20116096101411474,0.1025876590832069,0.734854030585735,,0.10420520039880973,-0.10420520039880973
record_count,0.09551094191831366,-0.0974631897420763,-0.04517312973608719,0.8027509337618711,0.4898337042061891,0.86165902900059,0.18130313954038516,1.0,0.5326587291912352,0.3743904215746179,-0.09712397168968741,-0.026912498196234237,,0.4898337042061891,0.7124794549980019,0.6562408527615126,,0.013136588841549548,-0.013136588841549548
unique_users,0.06126073249169993,-0.012673254421246309,-0.004701106925421721,0.5468245022588274,0.16471900519306537,0.4776791280604123,0.06739148450627704,0.5326587291912352,1.0,0.7357106199892195,-0.011892483724705196,0.01786311411662813,,0.1647190051930654,0.594104612102829,0.40076395034344686,,-0.003684682494547772,0.003684682494547772
unique_grades,0.024982559854369833,-0.008856686239584934,-0.05730398678874761,0.36561236090248206,0.11814538360799351,0.3245443756925963,0.05081220857252832,0.3743904215746179,0.7357106199892195,1.0,-0.009729020414486138,-0.02383036913898449,,0.11814538360799351,0.41614990990709255,0.31963432759201693,,-0.03792516107198432,0.03792516107198432
median_price,-0.011079005685651667,0.994655549961447,0.014738493562295143,-0.077705340018455,-0.05821856492958908,-0.08392326423563758,0.039894042730554,-0.09712397168968741,-0.011892483724705196,-0.009729020414486138,1.0,0.010399806461402613,,-0.05821856492958909,-0.07399091539299692,-0.05517773326569171,,0.22848246209776105,-0.22848246209776105
median_pages,-0.1570595132743035,0.00942713093740844,0.9999999999999999,-0.0025255397494734415,0.02341962960120762,-0.011742030910867982,0.0804441729428167,-0.026912498196234237,0.01786311411662813,-0.02383036913898449,0.010399806461402613,1.0,,0.02341962960120762,0.00494808437791342,-0.016390568434765697,,-0.09290385424214946,0.09290385424214946
borrow_count,,,,,,,,,,,,,1.0,,,,,,
renew_count,0.02912693135984619,-0.05806950902712705,0.0342163545087287,0.30667300414084725,0.9999999999999998,0.5971079237100828,0.20116096101411474,0.4898337042061891,0.1647190051930654,0.11814538360799351,-0.05821856492958909,0.02341962960120762,,1.0,0.22046952533155612,0.27887505282880765,,0.013369756328525304,-0.013369756328525304
return_count,0.057286360094618995,-0.07380730736815222,-0.014816080890719778,0.48005444867004937,0.22046952533155612,0.4211108119909612,0.1025876590832069,0.7124794549980019,0.594104612102829,0.41614990990709255,-0.07399091539299692,0.00494808437791342,,0.22046952533155612,1.0,0.5142698953775838,,0.018170184154063056,-0.018170184154063056
active_days,0.0560397702179329,-0.05642221567676391,-0.03029943056842788,0.5586281717258494,0.27887505282880765,0.5498774052309897,0.734854030585735,0.6562408527615126,0.40076395034344686,0.31963432759201693,-0.05517773326569171,-0.016390568434765697,,0.27887505282880765,0.5142698953775838,1.0,,0.03326013297224001,-0.03326013297224001
borrow_per_user,,,,,,,,,,,,,,,,,1.0,,
publication_year,0.13104253751329456,0.22698280138458604,-0.06896794335140982,0.004430308480846966,0.013369756328525304,0.0021274856790279577,0.10420520039880973,0.013136588841549548,-0.003684682494547772,-0.03792516107198432,0.22848246209776105,-0.09290385424214946,,0.013369756328525304,0.018170184154063056,0.03326013297224001,,1.0,-0.9999999999999998
book_age,-0.13104253751329456,-0.22698280138458604,0.06896794335140982,-0.004430308480846966,-0.013369756328525304,-0.0021274856790279577,-0.10420520039880973,-0.013136588841549548,0.003684682494547772,0.03792516107198432,-0.22848246209776105,0.09290385424214946,,-0.013369756328525304,-0.018170184154063056,-0.03326013297224001,,-0.9999999999999998,1.0
