,Price,Pages,Total borrowings,Total renewals,Average borrowing time,unique_users,unique_grades,return_count,active_days,publication_year
Price,,0.453706156,0,0.098946311,0,0.08381886,0,0.169693691,0.082087728,0
Pages,0.430095045,,0.068557559,0,0.095233206,0.135578674,0,0,0,0.045513081
Total borrowings,0.004311735,0.062039486,,0,0,0.129434124,0.209801573,0.218622111,0,0.103987209
Total renewals,0.084695841,0,0,,0.060332928,0,0.144134216,0,0,0.05377886
Average borrowing duration,0,0.095233206,0,0.049916262,,0,0,0,0.631778556,0.143534444
unique_users,0,0.019278886,0.107874318,0,0.014325424,,0.567154216,0.301568047,0.035743444,0.02159015
unique_grades,0.028377148,0,0,0,0,0.591561522,,0.165830024,0,0
return_count,0.111110839,0,0.157687022,0,0,0.454681405,0.205345254,,0.224067673,0.292578479
active_days,0.086715524,0,0,0,0.631778556,0.030008937,0,0.243886991,,0.223126551
publication_year,0,0.021505145,0.07827623,0.05377886,0.15460811,0.023920459,0,0.287450274,0.243149699,
