,Price,Pages,Total borrowings,Total renewals,Average borrowing duration,unique_users,unique_grades,return_count,active_days,publication_year
Price,1,0.019011413547958694,-0.099872489,-0.071195073,0.059435177,-0.015561106,-0.010852511,-0.093063165,-0.080239542,0.31559925983836756
Pages,0.019011413547958694,1,-0.026868184,0.042991672,0.12641996119556967,-0.005364699,-0.06986855,-0.020540457,-0.042504467,-0.092914287
Total borrowings,-0.099872489,-0.026868184,1,0.32266506152890284,0.16736150783741693,0.5714163270204484,0.38413978369799157,0.5199915100726521,0.6542571600629331,0.007292345
Total renewals,-0.071195073,0.042991672,0.32266506152890284,1,0.25022509809981114,0.16808592669468764,0.11952500965813455,0.23204984830769584,0.3285345858514762,0.016239885134642112
Average borrowing duration,0.059435177,0.12641996119556967,0.16736150783741693,0.25022509809981114,1,0.084115902,0.062452442,0.12771066400636427,0.8248211828637934,0.15009434921739187
unique_users,-0.015561106,-0.005364699,0.5714163270204484,0.16808592669468764,0.084115902,1,0.7442972777991991,0.6179115733640043,0.4752722372249653,-0.004157369
unique_grades,-0.010852511,-0.06986855,0.38413978369799157,0.11952500965813455,0.062452442,0.7442972777991991,1,0.434739891,0.3774197420341258,-0.045848238
return_count,-0.093063165,-0.020540457,0.5199915100726521,0.23204984830769584,0.12771066400636427,0.6179115733640043,0.434739891,1,0.6072300729274659,0.022746584054656637
active_days,-0.080239542,-0.042504467,0.6542571600629331,0.3285345858514762,0.8248211828637934,0.4752722372249653,0.3774197420341258,0.6072300729274659,1,0.047020488
publication_year,0.31559925983836756,-0.092914287,0.007292345,0.016239885134642112,0.15009434921739187,-0.004157369,-0.045848238,0.022746584054656637,0.047020488,1
